number_of_words,number_of_characters,average_word_len,number_of_stop_words,number_of_tags,number_of_hash_tags,readability,number_of_digits,number_of_secure_links,number_of_unsecured_links,number_of_percent,number_of_exclamation_marks,number_of_question_marks,number_of_commas,number_of_points,number_of_male_terms,number_of_female_terms,number_of_emoji,number_of_tildes,number_of_dollars,number_of_circumflex_accents,number_of_ampersands,number_of_stars,number_of_parenthesis,number_of_minuses,number_of_underscores,number_of_equals,number_of_pluses,number_of_brackets,number_of_curly_brackets,number_of_vertical_bars,number_of_semicolons,number_of_colons,number_of_apostrophes,number_of_grave_accents,number_of_quotation_marks,number_of_slashes,number_of_less_grater_than_signs,number_of_words_in_bot_popular_words,number_of_words_in_human_popular_words,number_of_different_words,author_class
42.78,289.55,5.479615676648552,9.88,0.0,0.1,9.802147639083685,6.04,1.98,1.98,0.01,0.02,0.27,2.23,3.3,1.58,0.07,1.765,0.0,0.06,0.0,0.38,0.76,0.71,0.43,0.0,0.0,0.07,0.01,0.0,0.0,0.41,3.53,0.06,0.01,0.04,6.33,0.0,15.24,5.23,0.2861150070126227,0
44.12,292.21,5.388848238536586,10.44,0.0,0.1,9.937244242973708,5.69,2.04,2.04,0.01,0.02,0.1,2.55,3.47,1.94,0.08,1.765,0.0,0.06,0.0,0.39,0.12,0.6,0.41,0.0,0.0,0.07,0.0,0.0,0.0,0.48,3.53,0.04,0.0,0.0,6.36,0.0,14.82,5.23,0.2747053490480508,0
43.04,292.88,5.503868676473079,8.97,0.0,1.24,10.064791449814127,6.89,1.96,1.96,0.01,0.04,0.06,2.74,3.33,1.86,0.1,2.075,0.0,0.05,0.0,0.35,0.35,0.53,0.34,0.0,0.0,0.02,0.03,0.0,0.03,0.5,3.77,0.05,0.0,0.02,6.31,0.0,15.68,4.71,0.27904275092936803,0
42.71,284.72,5.259924354039509,8.52,0.0,5.22,8.60387026457504,5.02,1.73,1.73,0.01,0.02,0.05,1.95,2.89,1.73,0.07,2.64,0.0,0.06,0.0,0.24,0.39,0.47,0.3,0.01,0.0,0.04,0.0,0.0,0.03,0.31,3.3,0.05,0.0,0.0,5.38,0.0,16.91,4.34,0.262233668929993,0
42.4,290.16,5.445076193255574,7.9,0.0,2.84,9.462037735849059,6.84,1.92,1.92,0.01,0.06,0.1,2.22,3.01,1.22,0.07,2.315,0.0,0.08,0.0,0.32,0.52,0.89,0.32,0.01,0.0,0.05,0.02,0.0,0.02,0.52,3.63,0.03,0.0,0.0,6.24,0.0,16.11,4.04,0.26910377358490567,0
42.89,294.38,5.579240258434255,9.47,0.0,0.24,10.342695709955702,6.17,2.0,2.0,0.0,0.05,0.01,2.15,3.11,1.75,0.08,1.99,0.0,0.03,0.0,0.21,0.52,1.09,0.27,0.01,0.82,0.07,0.0,0.0,0.0,0.31,3.94,0.01,0.0,0.0,6.33,0.0,15.44,4.51,0.2664956866402425,0
43.49,289.12,5.383314090560159,11.16,0.0,0.07,9.654705426534836,4.87,1.95,1.95,0.0,0.01,0.11,2.1,3.23,2.09,0.1,1.66,0.0,0.03,0.0,0.26,1.78,0.69,0.35,0.0,0.0,0.1,0.01,0.0,0.02,0.38,3.32,0.02,0.0,0.0,6.18,0.0,13.62,5.84,0.26787767302828236,0
42.81,289.79,5.48207803452567,10.24,0.02,0.1,10.011716398037844,5.44,1.86,1.86,0.0,0.05,0.08,1.96,3.13,2.14,0.13,1.785,0.0,0.02,0.0,0.18,0.12,1.14,0.55,0.0,0.2,0.07,0.0,0.0,0.01,0.23,3.57,0.08,0.0,0.04,5.88,0.0,13.78,5.47,0.284746554543331,0
42.86,296.78,5.586798997617951,9.14,0.0,0.09,10.39250219318712,7.71,1.87,1.87,0.02,0.06,0.07,1.97,3.04,2.0,0.09,1.925,0.0,0.41,0.0,0.37,2.59,0.82,0.68,0.02,0.24,0.06,0.03,0.0,0.04,0.47,3.85,0.0,0.0,0.0,6.23,0.0,15.21,4.56,0.2722818478768082,0
45.38,298.51,5.330244821680197,11.12,0.01,0.02,10.317234817100047,6.28,1.92,1.92,0.0,0.05,0.14,1.95,3.0,1.65,0.05,2.01,0.0,0.04,0.0,0.27,0.83,0.65,0.46,0.01,0.0,0.1,0.0,0.0,0.01,0.28,4.02,0.0,0.0,0.0,6.36,0.0,14.48,6.04,0.25870427501101806,0
12.6,67.54,4.360419464780145,5.49,0.0,0.0,-6.059015873015873,0.32,0.0,0.0,0.02,0.01,0.09,0.45,0.82,0.94,0.12,0.035,0.0,0.0,0.0,0.01,0.0,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.07,0.49,0.0,0.12,0.05,0.0,0.89,4.07,0.45396825396825397,0
14.03,74.47,4.245153802391306,6.08,0.0,0.01,-5.660709123307198,0.38,0.0,0.0,0.02,0.01,0.08,0.5,0.79,0.97,0.12,0.055,0.0,0.01,0.0,0.03,0.0,0.02,0.12,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.07,0.45,0.0,0.16,0.04,0.0,1.07,4.75,0.42052744119743407,0
12.76,68.16,4.231284036524039,5.21,0.0,0.01,-6.156233228840126,0.33,0.0,0.0,0.03,0.01,0.11,0.4,0.79,0.87,0.12,0.035,0.0,0.01,0.0,0.03,0.0,0.0,0.14,0.0,0.01,0.01,0.0,0.0,0.0,0.03,0.05,0.45,0.0,0.08,0.06,0.0,0.98,4.3,0.46003134796238243,0
12.17,65.54,4.405858733282243,5.12,0.0,0.0,-6.189632621199671,0.16,0.0,0.0,0.01,0.03,0.07,0.47,0.88,1.02,0.1,0.03,0.0,0.0,0.0,0.0,0.04,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.47,0.0,0.2,0.0,0.0,0.93,3.97,0.45768282662284304,0
12.22,64.94,4.264588283854444,5.21,0.0,0.01,-6.585083797054008,0.17,0.0,0.0,0.01,0.0,0.14,0.39,0.79,0.88,0.11,0.065,0.0,0.0,0.0,0.04,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.33,0.0,0.14,0.01,0.0,1.08,4.37,0.4533551554828151,0
13.04,67.99,4.186609326578133,5.7,0.0,0.01,-6.396117791411044,0.3,0.0,0.0,0.0,0.02,0.08,0.52,0.93,0.84,0.09,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.55,0.0,0.18,0.02,0.0,1.08,4.42,0.42254601226993865,0
12.63,66.8,4.229425462070646,5.49,0.0,0.0,-6.254482106096594,0.45,0.0,0.0,0.02,0.0,0.07,0.29,0.86,0.82,0.15,0.05,0.0,0.05,0.0,0.0,0.0,0.02,0.08,0.0,0.01,0.01,0.02,0.0,0.0,0.02,0.06,0.39,0.0,0.16,0.03,0.0,0.99,4.34,0.4433887569279493,0
13.76,71.63,4.2017860379630765,5.93,0.0,0.0,-6.218803488372092,0.26,0.0,0.0,0.03,0.02,0.11,0.38,0.71,0.95,0.05,0.045,0.0,0.0,0.0,0.02,0.0,0.0,0.11,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.07,0.59,0.0,0.14,0.01,0.0,1.04,4.82,0.42296511627906974,0
12.7,66.15,4.167467263242085,5.67,0.0,0.01,-6.790385826771653,0.19,0.0,0.0,0.02,0.02,0.09,0.39,0.76,0.91,0.06,0.05,0.0,0.01,0.0,0.02,0.01,0.02,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.06,0.43,0.0,0.12,0.01,0.0,0.82,4.78,0.4196850393700787,0
12.8,66.93,4.15575645493138,5.61,0.0,0.0,-6.3758124999999986,0.24,0.0,0.0,0.0,0.0,0.09,0.41,0.79,0.99,0.08,0.09,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.49,0.0,0.2,0.05,0.0,0.84,4.55,0.428125,0
19.26,146.58,6.021823625665183,2.74,1.79,5.62,1.4422722741433027,2.92,0.55,0.56,0.02,0.11,0.17,0.19,0.85,0.87,0.24,0.915,0.0,0.03,0.0,0.07,0.0,0.1,0.14,0.34,0.0,0.01,0.1,0.2,0.03,0.07,1.53,0.05,0.01,0.24,1.8,0.0,2.4,3.27,0.38161993769470404,0
20.02,152.46,6.011509383837572,2.85,1.5,6.79,1.3831346653346657,3.01,0.5,0.51,0.04,0.07,0.27,0.17,0.93,1.02,0.21,0.77,0.0,0.02,0.0,0.03,0.0,0.03,0.2,0.19,0.0,0.05,0.1,0.12,0.05,0.04,1.46,0.08,0.0,0.3,1.47,0.0,2.17,3.41,0.3531468531468531,0
19.42,148.23,6.0485311376304445,3.0,1.79,6.0,1.2682490216271916,3.21,0.53,0.53,0.03,0.09,0.13,0.3,1.11,0.96,0.25,0.865,0.01,0.01,0.0,0.03,0.0,0.04,0.12,0.31,0.0,0.01,0.12,0.12,0.0,0.04,1.61,0.07,0.0,0.33,1.6,0.0,2.47,3.23,0.3650875386199794,0
20.58,157.75,6.093040398616141,3.19,1.97,6.42,2.005782118561708,3.35,0.5,0.5,0.01,0.05,0.2,0.16,1.0,0.98,0.25,0.755,0.02,0.04,0.0,0.06,0.0,0.07,0.18,0.32,0.0,0.02,0.18,0.08,0.03,0.07,1.47,0.04,0.0,0.45,1.61,0.0,2.56,3.54,0.35811467444120504,0
19.89,152.86,6.12945040155498,2.85,1.83,5.74,1.3448777777777785,3.49,0.58,0.62,0.03,0.1,0.1,0.16,0.96,0.81,0.19,0.83,0.0,0.03,0.0,0.08,0.0,0.0,0.18,0.29,0.01,0.03,0.07,0.08,0.07,0.08,1.6,0.06,0.0,0.35,1.71,0.0,2.51,2.96,0.33182503770739064,0
20.53,152.96,5.86124996841107,3.19,2.08,5.28,1.331361471018024,3.29,0.6,0.61,0.05,0.08,0.13,0.22,1.07,0.91,0.22,0.84,0.01,0.01,0.0,0.07,0.0,0.04,0.12,0.32,0.0,0.01,0.16,0.1,0.0,0.07,1.52,0.14,0.0,0.54,1.92,0.0,2.75,3.23,0.3687286897223575,0
18.66,140.52,5.965611076647921,2.72,1.69,5.23,0.9073356913183268,3.03,0.51,0.51,0.02,0.06,0.09,0.26,0.87,0.85,0.23,0.9,0.03,0.01,0.0,0.05,0.0,0.0,0.16,0.26,0.0,0.05,0.17,0.14,0.03,0.05,1.62,0.11,0.0,0.13,1.54,0.0,2.07,3.08,0.387459807073955,0
20.62,151.92,5.796700520800037,3.84,1.86,5.32,1.098647720659553,2.73,0.62,0.63,0.02,0.09,0.16,0.32,1.25,1.13,0.22,0.825,0.01,0.0,0.0,0.08,0.0,0.05,0.16,0.2,0.0,0.01,0.1,0.02,0.03,0.09,1.55,0.12,0.0,0.4,1.96,0.0,2.57,3.74,0.3913676042677013,0
21.57,160.41,5.863308467395009,3.49,2.32,5.6,1.2907283727399168,3.83,0.56,0.56,0.01,0.16,0.14,0.28,1.2,1.15,0.31,0.725,0.01,0.02,0.0,0.04,0.0,0.04,0.17,0.31,0.0,0.0,0.02,0.02,0.03,0.05,1.35,0.08,0.0,0.61,1.89,0.0,2.67,3.46,0.36903106165971256,0
22.72,176.88,6.224807081635507,3.06,1.93,6.33,3.040078169014084,4.07,0.63,0.63,0.02,0.1,0.1,0.22,1.43,1.14,0.24,0.745,0.01,0.01,0.0,0.13,0.0,0.06,0.27,0.32,0.0,0.02,0.08,0.08,0.12,0.13,1.29,0.08,0.0,0.86,2.26,0.0,3.06,3.32,0.36619718309859156,0
0.24,79.25,0.04583333333333333,0.14,0.03,0.01,-10.579733333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,62.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.09,0.9583333333333334,0
0.0,80.08,0.0,0.0,0.0,0.0,-15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,77.17,0.0,0.0,0.0,0.0,-15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,78.55,0.0,0.0,0.0,0.0,-15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,78.75,0.0,0.0,0.0,0.0,-15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.21,80.96,0.05,0.09,0.06,0.0,-9.88905238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,62.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.09,0.9523809523809523,0
0.0,78.37,0.0,0.0,0.0,0.0,-15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,79.95,0.0,0.0,0.0,0.0,-15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,78.04,0.0,0.0,0.0,0.0,-15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.06,77.11,0.026666666666666665,0.0,0.01,0.0,-11.633266666666666,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.8333333333333334,0
18.08,117.51,4.797985517702472,4.77,0.0,1.2,-3.4872513274336274,3.81,1.0,1.0,0.0,0.0,0.3,1.35,1.83,0.97,0.0,0.5,0.0,0.0,0.0,0.31,0.0,2.8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.31,1.0,0.0,0.0,0.0,3.0,0.0,4.46,3.34,0.04092920353982301,0
