number_of_words,number_of_characters,average_word_len,number_of_stop_words,number_of_tags,number_of_hash_tags,readability,number_of_digits,number_of_secure_links,number_of_unsecured_links,number_of_percent,number_of_exclamation_marks,number_of_question_marks,number_of_commas,number_of_points,number_of_male_terms,number_of_female_terms,number_of_emoji,number_of_tildes,number_of_dollars,number_of_circumflex_accents,number_of_ampersands,number_of_stars,number_of_parenthesis,number_of_minuses,number_of_underscores,number_of_equals,number_of_pluses,number_of_brackets,number_of_curly_brackets,number_of_vertical_bars,number_of_semicolons,number_of_colons,number_of_apostrophes,number_of_grave_accents,number_of_quotation_marks,number_of_slashes,number_of_less_grater_than_signs,number_of_words_in_bot_popular_words,number_of_words_in_human_popular_words,number_of_different_words,author_class
15.42,98.71,5.258275613667454,4.86,0.9,0.69,1.6498700389105068,1.57,0.69,0.69,0.0,0.55,0.15,0.27,1.15,0.23,0.05,0.77,0.0,0.0,0.0,0.05,0.0,0.04,0.11,0.32,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0,2.07,0.0,1.46,0.68,0.33852140077821014,0
17.31,109.55,5.1593124597314555,5.45,0.88,0.85,2.149692605430385,1.88,0.79,0.79,0.0,0.42,0.13,0.26,1.48,0.16,0.02,0.72,0.0,0.0,0.0,0.17,0.0,0.02,0.19,0.27,0.0,0.01,0.0,0.0,0.0,0.17,1.02,0.0,0.0,0.04,2.3,0.0,1.77,0.57,0.30271519352975157,0
17.36,112.08,5.1754537872974415,4.91,1.15,0.9,2.511390783410139,1.91,0.86,0.87,0.0,0.43,0.2,0.3,1.46,0.18,0.0,0.99,0.0,0.0,0.0,0.03,0.0,0.08,0.09,0.36,0.01,0.03,0.0,0.0,0.0,0.03,1.24,0.04,0.0,0.02,2.59,0.0,1.83,0.88,0.3346774193548387,0
16.71,110.51,5.423069442098634,4.71,1.36,0.71,3.0305505086774396,1.86,0.83,0.83,0.0,0.71,0.1,0.19,1.13,0.23,0.01,0.81,0.0,0.0,0.0,0.12,0.0,0.07,0.21,0.48,0.01,0.03,0.0,0.0,0.01,0.12,1.24,0.03,0.0,0.04,2.37,0.0,1.76,0.77,0.33632555356074206,0
18.16,117.75,5.188995776610881,4.86,1.24,1.17,2.6036334801762138,2.16,0.96,0.96,0.0,0.71,0.14,0.19,1.47,0.23,0.0,0.91,0.0,0.0,0.0,0.04,0.0,0.01,0.08,0.45,0.0,0.02,0.0,0.0,0.0,0.04,1.36,0.03,0.0,0.06,2.7,0.0,1.91,1.08,0.31057268722466963,0
15.8,109.13,5.592764908366786,3.98,1.31,0.84,3.238329113924049,2.1,0.85,0.88,0.0,0.9,0.18,0.16,1.09,0.09,0.0,1.095,0.0,0.0,0.0,0.02,0.0,0.0,0.08,0.31,0.0,0.0,0.12,0.0,0.0,0.02,1.17,0.0,0.0,0.0,2.51,0.0,1.86,0.71,0.31265822784810127,0
16.78,111.86,5.470044642409782,4.46,1.02,0.91,3.148002145411205,2.32,0.9,0.9,0.0,0.81,0.17,0.23,1.47,0.24,0.0,0.94,0.0,0.0,0.0,0.09,0.0,0.03,0.08,0.48,0.0,0.0,0.0,0.0,0.01,0.09,1.2,0.0,0.0,0.0,2.64,0.0,1.88,0.94,0.3182359952324195,0
16.48,107.81,5.245430736725996,4.94,0.81,0.96,1.7922970873786426,1.87,0.76,0.76,0.01,0.76,0.12,0.17,1.01,0.16,0.01,1.495,0.0,0.0,0.0,0.08,0.0,0.03,0.2,0.22,0.01,0.03,0.0,0.0,0.01,0.08,0.99,0.01,0.0,0.1,2.27,0.0,1.66,0.82,0.3143203883495146,0
18.93,118.24,4.887282310516518,6.11,0.75,1.14,1.9719921288959306,2.52,0.9,0.9,0.01,0.91,0.12,0.3,1.16,0.1,0.0,1.985,0.0,0.0,0.0,0.05,0.0,0.04,0.08,0.18,0.0,0.0,0.14,0.0,0.0,0.06,1.17,0.0,0.0,0.0,2.62,0.0,1.9,0.85,0.27469624933967246,0
18.11,110.54,4.712881258897047,6.11,0.37,1.08,0.9207188845941481,2.68,0.89,0.89,0.01,0.84,0.13,0.26,1.19,0.09,0.0,2.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.09,0.0,0.0,0.01,0.0,1.01,0.0,0.0,0.0,2.65,0.0,1.81,0.81,0.23025952512424075,0
