number_of_words,number_of_characters,average_word_len,number_of_stop_words,number_of_tags,number_of_hash_tags,readability,number_of_digits,number_of_secure_links,number_of_unsecured_links,number_of_percent,number_of_exclamation_marks,number_of_question_marks,number_of_commas,number_of_points,number_of_male_terms,number_of_female_terms,number_of_emoji,number_of_tildes,number_of_dollars,number_of_circumflex_accents,number_of_ampersands,number_of_stars,number_of_parenthesis,number_of_minuses,number_of_underscores,number_of_equals,number_of_pluses,number_of_brackets,number_of_curly_brackets,number_of_vertical_bars,number_of_semicolons,number_of_colons,number_of_apostrophes,number_of_grave_accents,number_of_quotation_marks,number_of_slashes,number_of_less_grater_than_signs,author_class
10.78,63.02,4.731181779365274,3.62,0.48,0.22,-7.587469758812615,1.66,0.0,0.23,0.0,0.73,0.09,0.16,1.03,0.65,0.18,1.365,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.01,0.01,0.0,0.0,0.0,0.01,0.35,0.28,0.0,0.04,0.69,0.0,2
11.69,69.35,4.5317055286467305,3.69,0.48,0.2,-6.6500616766467076,1.42,0.0,0.3,0.0,0.93,0.1,0.06,0.76,0.84,0.21,1.625,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.02,0.47,0.25,0.0,0.08,0.92,0.0,2
12.4,74.01,4.702173733846814,4.11,0.75,0.11,-6.766741935483871,2.24,0.13,0.44,0.0,0.7,0.1,0.02,0.99,0.86,0.22,1.965,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.28,0.0,0.0,0.0,0.0,0.0,0.01,0.65,0.29,0.0,0.06,1.33,0.0,2
10.69,66.75,5.1282347927210745,3.44,0.74,0.29,-6.685446304957903,1.86,0.0,0.31,0.0,0.51,0.05,0.07,0.73,0.64,0.23,2.055,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.17,0.0,0.0,0.92,0.0,2
10.84,68.4,5.535872385122619,3.36,0.9,0.34,-6.714245018450185,1.7,0.02,0.27,0.0,0.49,0.07,0.08,0.52,0.81,0.17,2.08,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.01,0.4,0.24,0.0,0.0,0.82,0.0,2
10.61,67.47,5.2315403313182545,2.96,0.74,0.26,-6.325050047125352,1.86,0.12,0.52,0.01,0.53,0.02,0.1,0.66,0.68,0.15,1.92,0.0,0.0,0.0,0.01,0.0,0.0,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.01,0.66,0.22,0.0,0.02,1.47,0.0,2
11.72,72.87,4.820819998462834,3.51,0.76,0.32,-6.246845051194539,1.58,0.52,0.57,0.0,0.56,0.05,0.06,0.82,0.9,0.17,2.01,0.0,0.0,0.0,0.08,0.0,0.04,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.08,0.74,0.29,0.0,0.02,1.67,0.0,2
13.3,80.85,4.920168041802878,3.88,0.83,0.41,-5.63863909774436,1.88,0.64,0.64,0.0,0.45,0.12,0.13,0.86,0.94,0.18,1.64,0.0,0.0,0.0,0.03,0.0,0.02,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.03,0.9,0.22,0.0,0.01,1.88,0.0,2
13.27,80.04,4.722662553993684,3.73,0.65,0.39,-5.7907361718161265,1.59,0.71,0.71,0.0,0.33,0.03,0.09,1.08,0.96,0.15,1.63,0.0,0.0,0.0,0.03,0.0,0.02,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.98,0.28,0.0,0.03,2.15,0.0,2
13.57,85.58,4.949517074231238,4.0,0.95,0.51,-5.175960869565216,1.37,0.63,0.63,0.0,0.37,0.05,0.19,0.92,0.98,0.15,1.735,0.0,0.0,0.0,0.06,0.02,0.0,0.14,0.16,0.0,0.0,0.0,0.0,0.0,0.06,0.97,0.31,0.0,0.13,1.89,0.0,2
13.91,92.69,5.299850144733947,3.63,0.88,2.47,-4.574733357296909,1.53,0.07,0.71,0.0,1.07,0.06,0.06,0.78,0.77,0.15,1.025,0.0,0.0,0.0,0.01,0.04,0.02,0.05,0.18,0.0,0.0,0.0,0.0,0.0,0.02,0.87,0.19,0.0,0.0,2.1,0.0,2
14.11,96.13,5.633158003514785,3.65,0.83,2.61,-3.706235364989368,1.31,0.09,0.67,0.01,0.75,0.14,0.03,0.85,1.02,0.18,0.995,0.0,0.0,0.0,0.05,0.0,0.01,0.06,0.17,0.0,0.0,0.02,0.0,0.0,0.06,0.87,0.16,0.0,0.0,1.97,0.0,2
13.33,91.57,5.636463304702806,3.39,0.9,1.98,-4.44261282820705,1.59,0.74,0.81,0.01,0.78,0.15,0.02,0.99,0.89,0.15,0.885,0.0,0.0,0.0,0.02,0.04,0.01,0.09,0.27,0.0,0.0,0.0,0.0,0.0,0.02,1.11,0.23,0.0,0.0,2.38,0.0,2
12.55,85.2,5.535095803329948,3.3,0.83,1.94,-4.48992231075697,1.35,0.7,0.7,0.0,0.71,0.17,0.08,0.76,0.76,0.12,0.845,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.89,0.17,0.0,0.0,2.01,0.0,2
13.35,93.86,5.76063345390457,3.09,1.02,2.25,-3.7189307116104864,1.47,0.81,0.82,0.0,0.64,0.04,0.06,0.87,0.8,0.06,0.895,0.0,0.0,0.0,0.02,0.0,0.05,0.06,0.21,0.01,0.02,0.0,0.0,0.0,0.03,1.03,0.18,0.0,0.0,2.4,0.0,2
13.66,96.14,5.897526197296594,3.6,0.92,2.23,-3.2655282576866753,1.14,0.7,0.71,0.0,0.82,0.12,0.04,0.97,0.77,0.13,0.79,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.23,0.0,0.0,0.0,0.0,0.0,0.02,0.84,0.33,0.0,0.0,2.11,0.0,2
12.49,90.38,5.9755642691501825,3.13,0.78,2.55,-2.971902401921536,1.15,0.64,0.65,0.0,0.81,0.12,0.01,0.77,0.79,0.12,0.78,0.0,0.0,0.0,0.01,0.0,0.01,0.06,0.13,0.0,0.01,0.0,0.0,0.0,0.02,0.72,0.13,0.0,0.0,1.94,0.0,2
14.03,99.05,5.890492150064132,3.61,0.78,2.78,-3.1123128296507474,1.57,0.72,0.72,0.0,0.65,0.07,0.01,0.77,0.81,0.14,0.82,0.0,0.01,0.0,0.05,0.0,0.02,0.07,0.21,0.0,0.0,0.0,0.0,0.0,0.05,0.78,0.2,0.0,0.0,2.13,0.0,2
14.71,101.31,5.643841528916361,3.82,0.56,2.94,-3.451740380693405,1.41,0.82,0.82,0.01,0.63,0.04,0.05,1.02,0.95,0.16,1.2,0.0,0.0,0.0,0.02,0.0,0.02,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.02,0.94,0.28,0.0,0.0,2.45,0.0,2
15.36,106.39,5.643109939309133,4.22,0.61,2.9,-2.7316312499999995,1.51,0.7,0.7,0.0,0.73,0.13,0.0,0.86,1.13,0.2,1.12,0.0,0.0,0.0,0.03,0.0,0.04,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.76,0.27,0.0,0.0,2.11,0.0,2
21.22,130.24,4.912455907903501,6.43,1.03,0.32,-1.5865845428840721,1.95,0.79,0.81,0.03,0.29,0.13,0.38,1.67,1.28,0.18,0.78,0.0,0.0,0.0,0.31,0.0,0.05,0.11,0.21,0.0,0.04,0.0,0.0,0.0,0.32,1.44,0.34,0.0,0.0,2.28,0.0,2
21.26,136.21,5.2000338031173055,6.13,1.21,0.44,-1.2487411100658505,2.05,0.84,0.84,0.0,0.38,0.07,0.29,2.05,1.28,0.21,0.725,0.0,0.0,0.0,0.42,0.0,0.03,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.42,1.39,0.37,0.0,0.0,2.37,0.0,2
21.59,134.79,5.047452942691333,6.55,1.26,0.58,-1.5131144511347845,2.06,0.75,0.75,0.0,0.44,0.08,0.34,1.97,1.28,0.2,0.725,0.0,0.0,0.0,0.39,0.0,0.07,0.22,0.17,0.0,0.01,0.0,0.0,0.0,0.39,1.25,0.34,0.0,0.08,2.13,0.0,2
22.0,144.74,5.493680888127556,6.68,1.65,0.47,-0.2571818181818166,1.27,0.58,0.58,0.01,0.32,0.05,0.55,1.95,1.45,0.25,0.565,0.0,0.0,0.0,0.41,0.0,0.0,0.12,0.36,0.0,0.0,0.0,0.0,0.0,0.41,1.01,0.27,0.0,0.02,1.63,0.0,2
24.92,159.9,5.256478796754985,8.22,1.58,0.75,0.42181765650080294,2.12,0.58,0.58,0.0,0.38,0.05,0.26,1.64,1.99,0.35,0.63,0.0,0.0,0.0,0.43,0.0,0.05,0.11,0.31,0.0,0.0,0.0,0.0,0.0,0.43,1.08,0.47,0.0,0.0,1.71,0.0,2
23.86,150.04,5.11192759933102,7.86,1.6,0.44,-0.5131834031852467,1.49,0.47,0.47,0.0,0.45,0.06,0.63,1.57,1.81,0.27,0.625,0.0,0.0,0.0,0.33,0.0,0.12,0.11,0.48,0.01,0.03,0.0,0.0,0.0,0.33,1.11,0.35,0.0,0.02,1.38,0.0,2
27.74,173.35,5.181890106506062,9.04,1.61,0.37,0.9201645277577519,1.76,0.55,0.55,0.01,0.43,0.1,0.74,2.45,1.89,0.36,0.51,0.0,0.0,0.0,0.53,0.0,0.06,0.12,0.46,0.0,0.0,0.0,0.0,0.0,0.53,0.98,0.48,0.0,0.01,1.64,0.0,2
26.79,164.65,5.07069071415554,8.84,1.39,0.25,0.5092384845091438,1.44,0.49,0.49,0.0,0.41,0.16,0.38,1.94,1.85,0.24,0.435,0.0,0.0,0.0,0.52,0.01,0.14,0.09,0.18,0.0,0.02,0.0,0.0,0.0,0.52,0.85,0.44,0.0,0.02,1.48,0.0,2
27.13,168.32,5.100691650930412,9.21,1.38,0.45,0.5884147069664571,2.27,0.54,0.56,0.0,0.35,0.11,0.62,2.19,1.85,0.24,0.65,0.0,0.0,0.0,0.47,0.0,0.09,0.1,0.23,0.0,0.0,0.0,0.0,0.0,0.5,1.04,0.56,0.0,0.03,1.62,0.0,2
27.01,167.67,5.117380709411265,8.75,1.53,0.57,0.7587093298778242,2.75,0.65,0.65,0.0,0.48,0.06,0.5,2.16,1.87,0.24,0.585,0.0,0.0,0.0,0.57,0.0,0.08,0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.57,1.13,0.53,0.0,0.02,1.97,0.0,2
12.88,69.25,4.466119096280891,5.17,0.48,0.15,-6.554067080745341,0.77,0.0,0.21,0.0,0.04,0.02,0.1,0.64,0.75,0.09,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.41,0.0,0.0,0.66,0.0,2
14.01,74.42,4.384116388740061,5.81,0.62,0.05,-6.3275275517487515,0.23,0.0,0.06,0.01,0.11,0.09,0.12,0.62,0.74,0.18,0.25,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.01,0.48,0.52,0.0,0.2,0.2,0.0,2
13.98,72.95,4.212323828302079,5.73,0.49,0.08,-6.9641233190271805,0.23,0.0,0.11,0.0,0.11,0.02,0.31,0.64,0.81,0.15,0.365,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.36,0.0,0.05,0.35,0.0,2
12.35,63.55,4.108695768293264,5.05,0.42,0.03,-7.085402834008097,0.25,0.02,0.12,0.01,0.0,0.09,0.19,0.5,0.61,0.15,0.285,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.37,0.0,0.03,0.35,0.0,2
11.37,56.51,4.077675172933345,4.66,0.25,0.01,-7.907327088830256,0.27,0.0,0.09,0.01,0.02,0.15,0.09,0.53,0.65,0.15,0.19,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.38,0.0,0.07,0.28,0.0,2
14.51,73.77,4.131382724939467,6.59,0.48,0.05,-6.369142729152308,0.37,0.08,0.08,0.01,0.08,0.03,0.14,0.52,0.92,0.16,0.25,0.0,0.0,0.0,0.03,0.02,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.44,0.71,0.0,0.08,0.21,0.0,2
14.67,73.74,4.025308446335889,6.69,0.35,0.01,-6.192762713019768,0.21,0.04,0.04,0.0,0.05,0.02,0.18,0.35,0.98,0.2,0.195,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.05,0.35,0.58,0.0,0.07,0.15,0.0,2
16.07,85.57,4.302568235555347,6.32,0.47,0.11,-4.814174797759801,0.37,0.15,0.15,0.0,0.07,0.03,0.27,0.48,1.0,0.22,0.42,0.0,0.02,0.0,0.03,0.0,0.02,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.54,0.61,0.0,0.02,0.47,0.0,2
13.92,72.75,4.274752271792641,6.03,0.45,0.01,-6.109188505747127,0.55,0.12,0.12,0.0,0.11,0.03,0.13,0.59,0.88,0.21,0.42,0.0,0.0,0.0,0.01,0.04,0.04,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.48,0.47,0.0,0.11,0.36,0.0,2
12.71,64.97,4.1297883556560375,5.54,0.42,0.03,-7.077317151848938,0.52,0.09,0.09,0.01,0.09,0.02,0.1,0.33,0.74,0.15,0.34,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.45,0.0,0.0,0.28,0.0,2
14.8,86.98,5.22495486312961,5.29,1.16,0.03,-4.651513513513512,0.74,0.23,0.23,0.0,0.09,0.12,0.48,0.94,1.0,0.23,0.235,0.0,0.0,0.0,0.08,0.0,0.24,0.08,0.25,0.0,0.0,0.0,0.0,0.0,0.08,0.37,0.49,0.0,0.02,0.73,0.0,2
16.83,100.03,5.164647901496068,6.3,1.31,0.0,-3.7327765300059426,1.14,0.28,0.28,0.0,0.09,0.07,0.37,1.11,1.42,0.17,0.27,0.0,0.0,0.0,0.23,0.0,0.07,0.07,0.13,0.0,0.0,0.0,0.0,0.0,0.24,0.44,0.54,0.0,0.0,0.88,0.0,2
16.4,97.65,5.312672629451266,6.08,1.41,0.01,-3.9415609756097556,0.58,0.25,0.25,0.0,0.08,0.07,0.59,1.11,1.04,0.14,0.24,0.0,0.0,0.0,0.2,0.01,0.1,0.06,0.2,0.0,0.01,0.0,0.0,0.0,0.2,0.42,0.47,0.0,0.03,0.76,0.0,2
14.33,83.76,5.2118010135802315,5.37,1.2,0.0,-5.035912700628053,0.44,0.16,0.16,0.0,0.13,0.05,0.52,0.84,1.03,0.14,0.18,0.01,0.0,0.0,0.02,0.0,0.09,0.1,0.07,0.0,0.01,0.0,0.0,0.0,0.02,0.28,0.55,0.0,0.0,0.49,0.0,2
16.71,97.34,5.123414084434069,6.36,1.04,0.01,-3.6921305206463195,0.54,0.18,0.18,0.0,0.11,0.16,0.32,1.24,1.09,0.32,0.265,0.0,0.0,0.0,0.14,0.02,0.11,0.11,0.32,0.0,0.0,0.0,0.0,0.0,0.15,0.33,0.69,0.0,0.02,0.61,0.0,2
14.25,86.72,5.191489215864966,4.85,1.21,0.02,-4.666605263157894,1.07,0.33,0.33,0.0,0.12,0.06,0.36,1.03,1.05,0.15,0.325,0.01,0.0,0.0,0.22,0.01,0.14,0.09,0.26,0.0,0.0,0.0,0.0,0.0,0.22,0.57,0.29,0.0,0.0,1.01,0.0,2
14.54,87.21,5.341019764382784,5.13,1.25,0.01,-4.368368363136177,0.94,0.26,0.26,0.0,0.08,0.05,0.36,1.07,0.91,0.15,0.225,0.0,0.0,0.0,0.13,0.0,0.11,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.14,0.41,0.39,0.0,0.0,0.81,0.0,2
14.37,83.49,5.027383164346344,5.43,0.81,0.01,-4.8863263048016705,1.14,0.33,0.33,0.0,0.09,0.07,0.45,1.17,0.84,0.19,0.265,0.0,0.0,0.0,0.14,0.0,0.07,0.05,0.25,0.0,0.0,0.0,0.0,0.0,0.14,0.47,0.51,0.0,0.0,1.01,0.0,2
20.28,116.21,4.752765374326187,7.97,1.23,0.02,-3.2528907297830365,0.63,0.21,0.21,0.0,0.11,0.07,0.73,1.4,1.3,0.24,0.19,0.0,0.0,0.0,0.25,0.0,0.09,0.09,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0.38,0.6,0.0,0.05,0.64,0.0,2
13.71,81.09,5.042390044514723,5.02,0.95,0.01,-5.147841064916118,0.79,0.3,0.3,0.0,0.08,0.08,0.5,1.07,0.88,0.17,0.195,0.01,0.0,0.0,0.14,0.0,0.15,0.05,0.17,0.0,0.0,0.0,0.0,0.0,0.14,0.39,0.36,0.0,0.02,0.93,0.0,2
12.33,69.86,4.459874858371762,4.95,0.3,0.06,-6.656563584752636,0.38,0.14,0.15,0.0,0.08,0.04,0.49,2.19,0.81,0.15,0.23,0.0,0.0,0.0,0.01,0.0,0.0,0.36,0.11,0.04,0.06,0.0,0.0,0.0,0.01,0.46,0.26,0.0,0.05,0.42,0.0,2
12.06,66.48,4.317990395443288,5.0,0.15,0.08,-7.021757545605306,0.23,0.02,0.02,0.0,0.25,0.04,0.26,2.12,0.64,0.11,0.085,0.0,0.02,0.0,0.0,0.0,0.06,0.61,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.23,0.0,0.11,0.07,0.0,2
12.37,68.45,4.4014793678246775,4.94,0.22,0.05,-6.778311156022635,0.41,0.17,0.17,0.0,0.16,0.12,0.43,2.04,0.96,0.24,0.26,0.0,0.0,0.0,0.01,0.0,0.07,0.29,0.14,0.0,0.01,0.0,0.0,0.0,0.01,0.46,0.17,0.0,0.06,0.51,0.0,2
20.38,111.25,4.247415288609491,8.4,0.1,0.05,-4.596265161923455,1.85,0.82,0.82,0.0,0.32,0.07,0.4,2.96,1.47,0.17,0.505,0.0,0.13,0.0,0.0,0.0,0.19,0.6,0.05,0.0,0.03,0.0,0.0,0.0,0.0,1.01,0.24,0.0,0.0,2.51,0.0,2
19.3,107.77,4.375662023374492,7.67,0.16,0.04,-4.186730569948185,1.12,0.37,0.37,0.0,0.24,0.05,0.45,2.82,1.74,0.23,0.325,0.01,0.08,0.0,0.0,0.0,0.2,0.61,0.05,0.02,0.13,0.0,0.0,0.0,0.03,0.65,0.23,0.0,0.13,1.12,0.0,2
